2025-10-27 01:16:51 | ERROR | [Port Scan] Potential port scan detected from 0.0.0.0 | Source: 0.0.0.0 | Details: Scanned 10 unique ports in 60 seconds.
2025-10-27 01:17:07 | ERROR | [Port Scan] Potential port scan detected from 192.168.1.4 | Source: 192.168.1.4 | Details: Scanned 10 unique ports in 60 seconds.
2025-10-27 01:17:21 | ERROR | [Port Scan] Potential port scan detected from 0.0.0.0 | Source: 0.0.0.0 | Details: Scanned 69 unique ports in 60 seconds.
2025-10-27 01:17:37 | ERROR | [Port Scan] Potential port scan detected from 192.168.1.4 | Source: 192.168.1.4 | Details: Scanned 14 unique ports in 60 seconds.
2025-10-27 01:17:51 | ERROR | [Port Scan] Potential port scan detected from 0.0.0.0 | Source: 0.0.0.0 | Details: Scanned 92 unique ports in 60 seconds.
2025-10-27 01:19:51 | ERROR | [Port Scan] Potential port scan detected from 0.0.0.0 | Source: 0.0.0.0 | Details: Scanned 10 unique ports in 60 seconds.
2025-10-27 01:21:45 | ERROR | [Port Scan] Potential port scan detected from 0.0.0.0 | Source: 0.0.0.0 | Details: Scanned 10 unique ports in 60 seconds.
2025-10-27 01:21:47 | CRITICAL | [Traffic Flood] Potential DoS/DDoS attack from 192.178.155.94 | Source: 192.178.155.94 | Details: Traffic rate: 154.97 packets/sec (threshold: 100)
2025-10-27 01:23:30 | CRITICAL | [Traffic Flood] Potential DoS/DDoS attack from 0.0.0.0 | Source: 0.0.0.0 | Details: Traffic rate: 100.06 packets/sec (threshold: 100)
2025-10-27 01:23:31 | ERROR | [Port Scan] Potential port scan detected from 0.0.0.0 | Source: 0.0.0.0 | Details: Scanned 10 unique ports in 60 seconds.
2025-10-27 01:24:51 | ERROR | [Port Scan] Potential port scan detected from 0.0.0.0 | Source: 0.0.0.0 | Details: Scanned 10 unique ports in 60 seconds.
2025-10-27 01:24:55 | CRITICAL | [Traffic Flood] Potential DoS/DDoS attack from 54.192.142.25 | Source: 54.192.142.25 | Details: Traffic rate: 121.26 packets/sec (threshold: 100)
2025-10-27 01:26:51 | ERROR | [Port Scan] Potential port scan detected from 0.0.0.0 | Source: 0.0.0.0 | Details: Scanned 10 unique ports in 60 seconds.
2025-10-27 01:28:52 | ERROR | [Port Scan] Potential port scan detected from 0.0.0.0 | Source: 0.0.0.0 | Details: Scanned 10 unique ports in 60 seconds.
2025-10-27 09:30:44 | ERROR | [Port Scan] Potential port scan detected from 0.0.0.0 | Source: 0.0.0.0 | Details: Scanned 10 unique ports in 60 seconds.
2025-10-27 09:33:28 | ERROR | [Port Scan] Potential port scan detected from 0.0.0.0 | Source: 0.0.0.0 | Details: Scanned 10 unique ports in 60 seconds.
